,target_away,target_draw
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,1,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,1
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,1
164,0,0
165,0,0
166,1,0
167,0,1
168,1,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,1
177,0,1
269,1,0
270,0,0
271,1,0
272,1,0
273,1,0
274,0,1
275,0,0
276,0,1
277,0,1
278,1,0
279,1,0
280,0,0
281,1,0
282,0,0
283,0,0
284,1,0
285,0,0
286,0,1
287,0,0
288,0,0
289,1,0
290,1,0
291,1,0
292,0,0
293,0,0
294,0,1
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
380,0,0
381,1,0
382,1,0
383,1,0
384,0,1
385,0,0
386,0,1
387,0,1
388,0,0
389,0,1
390,1,0
391,1,0
392,1,0
393,1,0
394,0,0
395,1,0
396,1,0
397,1,0
398,1,0
399,0,1
400,1,0
401,0,1
402,0,0
403,1,0
404,1,0
405,0,0
406,1,0
407,0,0
408,1,0
409,0,0
410,0,0
440,0,1
441,0,0
442,1,0
443,0,1
444,0,1
445,0,0
446,1,0
447,0,1
448,1,0
449,0,0
450,0,1
451,1,0
452,0,1
453,0,1
454,0,0
455,0,1
456,0,0
457,0,0
458,0,0
459,0,1
460,0,0
461,0,1
462,0,1
463,0,0
464,1,0
465,0,0
466,0,1
467,0,1
468,1,0
469,1,0
470,1,0
618,0,0
619,0,1
620,0,0
621,0,0
622,1,0
623,0,0
624,0,1
625,1,0
626,1,0
627,0,1
628,1,0
629,0,0
630,0,0
631,1,0
632,0,0
633,1,0
634,0,0
635,0,0
636,0,1
637,0,0
638,0,1
639,1,0
640,0,0
641,0,1
642,0,0
643,0,1
644,0,0
645,1,0
646,0,0
794,0,0
795,0,1
796,1,0
797,0,0
798,1,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,1
804,0,1
805,1,0
806,1,0
807,1,0
808,0,0
809,0,1
810,1,0
811,1,0
812,0,0
813,0,1
814,0,1
815,0,1
816,1,0
817,1,0
818,0,0
819,0,0
820,0,1
821,1,0
822,0,1
823,1,0
824,1,0
969,1,0
970,0,1
971,0,0
972,1,0
973,0,1
974,0,1
975,1,0
976,0,0
977,0,1
978,0,0
979,1,0
980,0,0
981,0,0
982,1,0
983,1,0
984,0,0
985,1,0
986,1,0
987,0,1
988,0,1
989,1,0
990,0,1
991,0,1
992,0,1
993,1,0
994,1,0
995,1,0
996,1,0
997,0,0
998,0,0
999,0,0
1147,1,0
1148,1,0
1149,0,1
1150,0,1
1151,0,1
1152,0,1
1153,0,0
1154,0,0
1155,1,0
1156,1,0
1157,1,0
1158,0,0
1159,0,1
1160,1,0
1161,1,0
1162,1,0
1163,0,1
1164,1,0
1165,1,0
1166,1,0
1167,0,0
1168,1,0
1169,0,0
1170,1,0
1171,1,0
1172,0,1
1173,0,0
1174,0,1
1175,0,1
1176,1,0
1177,1,0
1237,0,1
1238,0,1
1239,0,0
1240,1,0
1241,0,0
1242,1,0
1243,0,0
1244,1,0
1245,1,0
1246,0,1
1247,0,0
1248,0,0
1249,0,1
1250,1,0
1251,1,0
1252,0,0
1253,0,0
1254,0,0
1255,0,0
1256,1,0
1257,1,0
1258,0,1
1259,0,0
1260,0,0
1261,0,1
1262,1,0
1263,1,0
1264,1,0
1265,1,0
1266,0,0
1328,0,0
1329,0,1
1330,0,0
1331,1,0
1332,0,1
1333,1,0
1334,0,1
1335,1,0
1336,1,0
1337,1,0
1338,1,0
1339,0,0
1340,0,0
1341,1,0
1342,1,0
1343,0,1
1344,0,1
1345,1,0
1346,0,1
1347,1,0
1348,0,1
1349,1,0
1350,1,0
1351,0,0
1352,1,0
1353,0,1
1354,0,0
1355,1,0
1356,0,0
1357,1,0
1358,1,0
1506,0,1
1507,1,0
1508,1,0
1509,1,0
1510,1,0
1511,1,0
1512,1,0
1513,0,0
1514,1,0
1515,0,1
1516,0,0
1517,0,0
1518,1,0
1519,0,0
1520,0,0
1521,1,0
1522,1,0
1523,1,0
1524,1,0
1525,0,1
1526,0,0
1527,0,0
1528,1,0
1529,1,0
1530,1,0
1531,1,0
1532,0,1
1533,1,0
1534,1,0
1535,1,0
1536,1,0
1684,0,1
1685,0,1
1686,1,0
1687,0,0
1688,0,0
1689,0,1
1690,0,1
1691,1,0
1692,0,0
1693,0,0
1694,1,0
1695,1,0
1696,0,0
1697,0,0
1698,0,0
1699,0,0
1700,1,0
1701,1,0
1702,0,1
1703,1,0
1704,0,0
1705,0,0
1706,0,1
1707,0,0
1708,0,0
1709,1,0
1710,1,0
1711,0,1
1712,0,1
1713,0,0
1861,0,0
1862,0,0
1863,0,1
1864,0,0
1865,0,0
1866,0,1
1867,0,0
1868,0,0
1869,0,0
1870,1,0
1871,0,0
1872,0,0
1873,0,0
1874,1,0
1875,0,0
1876,0,1
1877,0,0
1878,1,0
1879,0,0
1880,0,0
1881,1,0
1882,0,0
1883,0,0
1884,0,1
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
2038,1,0
2039,1,0
2040,0,0
2041,0,0
2042,0,0
2043,0,0
2044,1,0
2045,0,0
2046,0,1
2047,0,0
2048,0,1
2049,0,0
2050,1,0
2051,0,0
2052,0,0
2053,0,0
2054,0,0
2055,0,0
2056,0,1
2057,1,0
2058,0,0
2059,0,1
2060,0,0
2061,0,0
2062,1,0
2063,0,1
2064,1,0
2065,0,0
2066,0,0
2067,0,0
2215,0,0
2216,0,1
2217,0,1
2218,0,1
2219,1,0
2220,0,1
2221,0,1
2222,0,0
2223,0,0
2224,0,1
2225,0,0
2226,0,0
2227,0,0
2228,0,0
2229,0,0
2230,0,0
2231,0,1
2232,0,1
2233,0,0
2234,0,1
2235,0,1
2236,0,1
2237,1,0
2238,1,0
2239,0,0
2240,0,0
2241,0,0
2242,0,0
2243,0,0
2244,1,0
2245,1,0
2246,1,0
2247,1,0
2248,1,0
2249,1,0
2250,0,1
2251,1,0
2252,0,1
2253,0,0
2254,1,0
2255,0,1
2256,0,0
2257,1,0
2258,0,1
2259,0,0
2260,0,0
2261,0,1
2262,0,0
2263,1,0
2264,0,1
2265,1,0
2266,0,1
2267,1,0
2268,1,0
2269,0,1
2270,1,0
2271,1,0
2272,1,0
2420,1,0
2421,0,1
2422,0,0
2423,1,0
2424,0,0
2425,1,0
2426,1,0
2427,1,0
2428,1,0
2429,0,1
2430,0,0
2431,0,1
2432,1,0
2433,1,0
2434,1,0
2435,1,0
2436,1,0
2437,1,0
2438,0,0
2439,1,0
2440,1,0
2441,1,0
2442,0,0
2443,1,0
2444,0,0
2445,0,1
2446,1,0
2447,0,1
2448,1,0
2449,1,0
2450,1,0
2598,0,0
2599,0,1
2600,0,0
2601,0,0
2602,0,1
2603,0,0
2604,0,0
2605,1,0
2606,0,0
2607,0,0
2608,1,0
2609,1,0
2610,0,0
2611,1,0
2612,0,0
2613,0,1
2614,1,0
2615,0,0
2616,1,0
2617,1,0
2618,0,0
2619,0,0
2620,1,0
2621,0,0
2622,0,0
2623,1,0
2624,0,0
2625,0,1
2626,0,1
2627,0,0
2628,1,0
2776,1,0
2777,1,0
2778,1,0
2779,0,0
2780,0,1
2781,1,0
2782,1,0
2783,0,0
2784,0,0
2785,0,1
2786,1,0
2787,0,0
2788,1,0
2789,1,0
2790,1,0
2791,1,0
2792,1,0
2793,0,1
2794,1,0
2795,0,0
2796,0,1
2797,0,1
2798,1,0
2799,0,0
2800,1,0
2801,0,1
2802,0,0
2803,1,0
2804,0,0
2805,0,1
2927,1,0
2928,0,1
2929,1,0
2930,0,1
2931,0,1
2932,0,0
2933,1,0
2934,1,0
2935,1,0
2936,0,0
2937,1,0
2938,1,0
2939,0,1
2940,1,0
2941,1,0
2942,0,0
2943,1,0
2944,0,1
2945,0,0
2946,1,0
2947,0,0
2948,0,0
2949,1,0
2950,0,1
2951,1,0
2952,0,0
2953,1,0
2954,1,0
2955,0,1
2956,0,0
2957,0,0
