,target_away,target_draw
0,0,1
1,0,0
2,0,0
3,1,0
4,0,0
5,1,0
6,0,1
7,0,1
8,0,0
9,0,1
10,0,0
11,0,1
12,1,0
13,0,0
14,0,0
15,1,0
16,1,0
17,1,0
18,0,0
19,1,0
20,0,0
21,1,0
22,1,0
23,1,0
24,1,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,1
31,0,1
32,0,1
33,0,0
34,0,0
35,0,1
36,1,0
37,0,1
38,1,0
39,0,0
40,1,0
41,0,0
42,1,0
43,0,0
44,0,0
45,0,1
46,0,0
47,0,0
48,1,0
49,1,0
50,1,0
51,1,0
52,0,1
53,0,0
54,1,0
55,0,1
56,0,0
57,0,1
58,0,0
59,0,1
60,0,1
61,1,0
62,0,1
63,1,0
64,0,0
65,1,0
66,0,1
67,0,1
68,1,0
69,0,0
70,0,1
71,0,1
72,0,0
73,0,0
74,0,0
75,1,0
76,1,0
77,0,0
78,0,0
79,0,1
80,1,0
81,0,0
82,1,0
83,0,0
84,0,0
85,1,0
86,1,0
87,1,0
88,0,0
89,1,0
90,0,1
91,1,0
92,1,0
93,0,1
94,1,0
95,0,0
96,0,0
97,0,1
98,0,0
99,0,0
100,0,1
101,1,0
102,1,0
103,0,0
104,1,0
105,0,0
106,0,0
107,0,1
108,1,0
109,0,1
110,1,0
111,0,0
112,0,0
113,0,0
114,0,0
178,1,0
179,0,1
180,1,0
181,0,0
182,1,0
183,1,0
184,1,0
185,0,0
186,0,1
187,1,0
188,1,0
189,1,0
190,1,0
191,0,1
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,0,1
198,1,0
199,1,0
200,1,0
201,0,0
202,0,1
203,0,0
204,0,1
205,0,0
206,0,0
207,0,0
208,1,0
209,1,0
210,0,0
211,1,0
212,1,0
213,0,0
214,0,0
215,0,1
216,1,0
217,1,0
218,0,0
219,0,0
220,1,0
221,0,0
222,0,1
223,1,0
224,0,0
225,0,1
226,0,1
227,1,0
228,0,0
229,1,0
230,1,0
231,0,0
232,1,0
233,0,1
234,1,0
235,0,0
236,0,0
300,1,0
301,0,1
302,1,0
303,1,0
304,0,0
305,0,1
306,0,1
307,1,0
308,1,0
309,1,0
310,0,1
311,0,0
312,0,1
313,0,0
314,0,1
315,0,0
316,0,1
317,0,1
318,1,0
319,0,1
320,1,0
321,1,0
322,1,0
323,0,0
324,0,1
325,1,0
326,0,0
327,0,0
328,0,1
329,0,0
330,1,0
331,1,0
332,1,0
333,1,0
334,1,0
335,1,0
336,0,0
337,1,0
338,1,0
339,1,0
340,0,0
341,0,0
342,1,0
343,0,1
344,1,0
346,1,0
347,0,1
348,0,0
349,1,0
350,0,0
351,1,0
352,1,0
353,0,0
354,0,0
355,0,1
356,1,0
357,0,0
358,1,0
359,1,0
360,1,0
361,1,0
362,1,0
363,0,0
364,0,1
365,1,0
366,1,0
367,0,0
368,0,0
369,0,1
370,1,0
371,1,0
372,1,0
373,1,0
374,1,0
375,0,1
376,0,0
377,1,0
378,1,0
379,0,0
471,0,0
472,1,0
473,0,1
474,0,0
475,0,1
476,1,0
477,0,1
478,1,0
479,1,0
480,1,0
481,0,1
482,0,1
483,1,0
484,0,1
485,0,0
486,0,0
487,1,0
488,1,0
489,1,0
490,0,1
491,0,0
492,1,0
493,1,0
494,0,0
495,1,0
496,0,1
497,0,1
498,1,0
499,1,0
