,date,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_home
0,2017-09-17,33,0,0.0,0.0,1.4,0.8,49.0,4,11.0,2.0,17.5,0.0,0.0,0.0,0,5,13,6,2.333333333333333,2.333333333333333,17.333333333333332,6.333333333333333,17.3,0.3333333333333333,0.0,0.0,0,0
1,2017-10-01,35,1,2.0,0.0,2.4,0.4,64.0,4,25.0,8.0,18.4,2.0,0.0,0.0,1,4,12,6,1.0,1.3333333333333333,12.0,3.6666666666666665,16.566666666666666,0.3333333333333333,0.0,0.0,0,1
2,2017-10-22,37,0,5.0,2.0,3.5,1.0,67.0,4,30.0,14.0,16.6,2.0,0.0,0.0,0,7,13,6,1.6666666666666667,0.0,17.666666666666668,6.333333333333333,17.166666666666664,1.0,0.0,0.0,0,1
3,2017-11-05,2,0,1.0,3.0,0.3,1.8,43.0,4,6.0,3.0,20.5,1.0,0.0,0.0,0,12,14,6,2.333333333333333,0.6666666666666666,22.0,8.0,17.5,1.3333333333333333,0.0,0.0,0,0
4,2017-11-18,3,1,2.0,0.0,2.1,0.7,43.0,4,14.0,5.0,16.4,1.0,0.0,0.0,1,17,12,5,2.6666666666666665,1.6666666666666667,20.33333333333333,8.333333333333334,18.5,1.6666666666666667,0.0,0.0,0,1
5,2017-12-02,6,1,1.0,3.0,4.7,1.8,75.0,4,33.0,14.0,16.7,2.0,0.0,0.0,1,13,17,5,2.6666666666666665,1.6666666666666667,16.666666666666668,7.333333333333333,17.833333333333332,1.3333333333333333,0.0,0.0,0,0
6,2017-12-10,7,0,1.0,1.0,0.7,1.3,67.0,4,11.0,6.0,20.6,1.0,0.0,0.0,0,16,12,6,1.3333333333333333,2.0,17.666666666666668,7.333333333333333,17.866666666666664,1.3333333333333333,0.0,0.0,0,0
7,2017-12-13,8,0,0.0,0.0,1.0,0.4,69.0,15,22.0,3.0,21.5,2.0,0.0,0.0,0,18,20,2,1.3333333333333333,1.3333333333333333,19.33333333333333,8.333333333333334,17.900000000000002,1.3333333333333333,0.0,0.0,0,0
8,2017-12-16,9,1,1.0,0.0,1.8,0.3,71.0,15,23.0,5.0,17.4,0.0,0.0,0.0,1,14,15,5,0.6666666666666666,1.3333333333333333,22.0,7.666666666666667,19.6,1.6666666666666667,0.0,0.0,0,1
9,2017-12-22,10,1,3.0,3.0,1.2,2.0,54.0,12,11.0,4.0,19.9,1.0,0.0,0.0,1,11,19,4,0.6666666666666666,0.3333333333333333,18.666666666666668,4.666666666666667,19.83333333333333,1.0,0.0,0.0,0,0
10,2017-12-28,12,0,3.0,2.0,1.8,1.3,64.0,4,16.0,9.0,18.5,1.0,0.0,0.0,0,6,20,3,1.3333333333333333,1.0,18.666666666666668,4.0,19.6,1.0,0.0,0.0,0,1
11,2018-01-03,14,1,2.0,2.0,1.2,3.0,58.0,4,14.0,6.0,16.5,1.0,0.0,0.0,1,5,19,2,2.333333333333333,1.6666666666666667,16.666666666666668,6.0,18.6,0.6666666666666666,0.0,0.0,0,0
12,2018-01-14,15,0,1.0,2.0,1.1,0.8,59.0,4,12.0,3.0,19.8,0.0,0.0,0.0,0,2,13,6,2.6666666666666665,2.333333333333333,13.666666666666666,6.333333333333333,18.3,1.0,0.0,0.0,0,0
13,2018-01-20,16,1,4.0,1.0,2.9,0.6,63.0,10,16.0,10.0,13.7,1.0,0.0,0.0,1,6,15,5,2.0,2.0,14.0,6.0,18.26666666666667,0.6666666666666666,0.0,0.0,0,1
14,2018-02-03,18,1,5.0,1.0,2.6,1.2,57.0,12,15.0,7.0,14.8,1.0,0.0,0.0,1,7,17,5,2.333333333333333,1.6666666666666667,14.0,6.333333333333333,16.666666666666668,0.6666666666666666,0.0,0.0,0,1
15,2018-02-10,19,0,0.0,1.0,0.6,2.6,50.0,15,6.0,1.0,19.6,1.0,0.0,0.0,0,17,12,5,3.333333333333333,1.3333333333333333,14.333333333333334,6.666666666666667,16.099999999999998,0.6666666666666666,0.0,0.0,0,0
