,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
0,0,2.0,0.0,1.0,1.2,44.0,15,10.0,2.0,14.6,1.0,0.0,0.0,0,6,20,4,0,1,0,0
1,11,4.0,2.0,2.7,0.5,50.0,15,19.0,7.0,13.0,0.0,0.0,0.0,1,10,15,5,0,1,0,0
2,22,3.0,0.0,1.3,0.3,57.0,15,14.0,6.0,14.8,0.0,0.0,0.0,0,2,17,5,0,1,0,0
3,32,2.0,1.0,2.6,0.8,71.0,15,22.0,8.0,15.5,1.0,0.0,0.0,1,8,17,5,0,1,0,0
4,33,2.0,1.0,2.4,0.4,59.0,15,22.0,8.0,16.3,1.0,0.0,0.0,1,1,19,2,0,1,0,0
5,34,1.0,3.0,1.3,1.5,60.0,15,16.0,3.0,18.6,1.0,0.0,0.0,0,13,16,6,0,0,1,0
6,36,3.0,0.0,1.5,0.5,63.0,15,13.0,7.0,18.2,0.0,0.0,0.0,0,3,12,6,0,1,0,0
7,37,3.0,1.0,2.4,1.6,64.0,15,22.0,9.0,18.6,1.0,0.0,0.0,1,17,12,5,0,1,0,0
8,1,3.0,2.0,2.7,1.1,43.0,15,10.0,6.0,14.3,0.0,1.0,1.0,1,11,16,6,0,1,0,0
9,2,1.0,0.0,0.5,1.8,53.0,15,9.0,4.0,16.6,1.0,0.0,0.0,0,9,14,6,0,1,0,0
10,4,1.0,1.0,1.0,0.7,59.0,15,12.0,3.0,17.2,0.0,0.0,0.0,0,16,14,6,0,0,0,1
11,5,5.0,0.0,2.3,0.4,69.0,15,24.0,9.0,16.0,1.0,0.0,0.0,1,15,14,6,0,1,0,0
12,6,1.0,0.0,2.1,0.3,55.0,15,14.0,2.0,14.5,0.0,0.0,0.0,0,5,12,6,0,1,0,0
13,7,2.0,0.0,2.1,0.7,62.0,15,14.0,3.0,13.7,0.0,0.0,0.0,0,19,19,5,0,1,0,0
14,8,3.0,1.0,2.1,1.0,66.0,15,16.0,5.0,18.2,1.0,0.0,0.0,1,18,20,0,0,1,0,0
15,9,4.0,2.0,2.9,1.2,32.0,15,14.0,7.0,11.2,0.0,0.0,0.0,0,4,17,5,0,1,0,0
16,10,0.0,0.0,1.1,1.0,66.0,15,17.0,4.0,17.0,0.0,0.0,0.0,1,14,19,1,0,0,0,1
17,12,2.0,0.0,1.8,1.6,49.0,15,14.0,5.0,17.9,2.0,0.0,0.0,0,17,16,6,0,1,0,0
18,13,3.0,2.0,3.1,0.4,57.0,15,25.0,5.0,14.2,0.0,0.0,0.0,1,13,16,6,0,1,0,0
19,14,0.0,1.0,0.9,1.7,70.0,15,15.0,2.0,17.6,0.0,0.0,0.0,0,7,12,5,0,0,1,0
20,15,1.0,1.0,1.6,2.0,69.0,15,23.0,7.0,19.6,0.0,0.0,0.0,1,3,15,5,0,0,0,1
21,3,1.0,3.0,1.6,1.8,63.0,15,9.0,0.0,19.2,0.0,1.0,1.0,1,12,19,2,0,0,1,0
22,16,4.0,2.0,3.2,0.5,67.0,15,20.0,5.0,15.7,0.0,0.0,0.0,0,1,12,5,0,1,0,0
23,17,1.0,0.0,0.7,0.0,65.0,15,10.0,2.0,19.4,1.0,0.0,0.0,0,10,15,5,0,1,0,0
