,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
0,33,0.0,0.0,1.4,0.8,49.0,4,11.0,2.0,17.5,0.0,0.0,0.0,0,5,13,6,0,0,0,1
1,35,2.0,0.0,2.4,0.4,64.0,4,25.0,8.0,18.4,2.0,0.0,0.0,1,4,12,6,0,1,0,0
2,37,5.0,2.0,3.5,1.0,67.0,4,30.0,14.0,16.6,2.0,0.0,0.0,0,7,13,6,0,1,0,0
3,2,1.0,3.0,0.3,1.8,43.0,4,6.0,3.0,20.5,1.0,0.0,0.0,0,12,14,6,0,0,1,0
4,3,2.0,0.0,2.1,0.7,43.0,4,14.0,5.0,16.4,1.0,0.0,0.0,1,17,12,5,0,1,0,0
5,6,1.0,3.0,4.7,1.8,75.0,4,33.0,14.0,16.7,2.0,0.0,0.0,1,13,17,5,0,0,1,0
6,7,1.0,1.0,0.7,1.3,67.0,4,11.0,6.0,20.6,1.0,0.0,0.0,0,16,12,6,0,0,0,1
7,8,0.0,0.0,1.0,0.4,69.0,15,22.0,3.0,21.5,2.0,0.0,0.0,0,18,20,2,0,0,0,1
8,9,1.0,0.0,1.8,0.3,71.0,15,23.0,5.0,17.4,0.0,0.0,0.0,1,14,15,5,0,1,0,0
9,10,3.0,3.0,1.2,2.0,54.0,12,11.0,4.0,19.9,1.0,0.0,0.0,1,11,19,4,0,0,0,1
10,12,3.0,2.0,1.8,1.3,64.0,4,16.0,9.0,18.5,1.0,0.0,0.0,0,6,20,3,0,1,0,0
11,14,2.0,2.0,1.2,3.0,58.0,4,14.0,6.0,16.5,1.0,0.0,0.0,1,5,19,2,0,0,0,1
12,15,1.0,2.0,1.1,0.8,59.0,4,12.0,3.0,19.8,0.0,0.0,0.0,0,2,13,6,0,0,1,0
13,16,4.0,1.0,2.9,0.6,63.0,10,16.0,10.0,13.7,1.0,0.0,0.0,1,6,15,5,0,1,0,0
14,18,5.0,1.0,2.6,1.2,57.0,12,15.0,7.0,14.8,1.0,0.0,0.0,1,7,17,5,0,1,0,0
15,19,0.0,1.0,0.6,2.6,50.0,15,6.0,1.0,19.6,1.0,0.0,0.0,0,17,12,5,0,0,1,0
16,20,0.0,3.0,1.3,1.5,46.0,12,9.0,4.0,22.0,1.0,0.0,1.0,1,12,19,3,0,0,1,0
