,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_home
0,0,0,2.0,0.0,1.0,1.2,44.0,15,10.0,2.0,14.6,1.0,0.0,0.0,0,6,20,4,1.6666666666666667,2.0,15.0,5.0,20.7,0.0,0.3333333333333333,0.3333333333333333,0,0,1
1,11,1,4.0,2.0,2.7,0.5,50.0,15,19.0,7.0,13.0,0.0,0.0,0.0,1,10,15,5,2.333333333333333,1.0,15.333333333333334,4.0,17.566666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1
2,22,0,3.0,0.0,1.3,0.3,57.0,15,14.0,6.0,14.8,0.0,0.0,0.0,0,2,17,5,3.6666666666666665,1.0,18.0,5.666666666666667,14.866666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1
3,32,1,2.0,1.0,2.6,0.8,71.0,15,22.0,8.0,15.5,1.0,0.0,0.0,1,8,17,5,3.0,0.6666666666666666,14.333333333333334,5.0,14.133333333333333,0.3333333333333333,0.0,0.0,0,0,1
4,33,1,2.0,1.0,2.4,0.4,59.0,15,22.0,8.0,16.3,1.0,0.0,0.0,1,1,19,2,3.0,1.0,18.33333333333333,7.0,14.43333333333333,0.3333333333333333,0.0,0.0,0,0,1
5,34,0,1.0,3.0,1.3,1.5,60.0,15,16.0,3.0,18.6,1.0,0.0,0.0,0,13,16,6,2.333333333333333,0.6666666666666666,19.33333333333333,7.333333333333333,15.533333333333331,0.6666666666666666,0.0,0.0,0,1,0
6,36,0,3.0,0.0,1.5,0.5,63.0,15,13.0,7.0,18.2,0.0,0.0,0.0,0,3,12,6,1.6666666666666667,1.6666666666666667,20.0,6.333333333333333,16.8,1.0,0.0,0.0,0,0,1
7,37,1,3.0,1.0,2.4,1.6,64.0,15,22.0,9.0,18.6,1.0,0.0,0.0,1,17,12,5,2.0,1.3333333333333333,17.0,6.0,17.7,0.6666666666666666,0.0,0.0,0,0,1
8,1,1,3.0,2.0,2.7,1.1,43.0,15,10.0,6.0,14.3,0.0,1.0,1.0,1,11,16,6,2.333333333333333,1.3333333333333333,17.0,6.333333333333333,18.466666666666665,0.6666666666666666,0.0,0.0,0,0,1
9,2,0,1.0,0.0,0.5,1.8,53.0,15,9.0,4.0,16.6,1.0,0.0,0.0,0,9,14,6,3.0,1.0,15.0,7.333333333333333,17.03333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1
